"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"County","Apache","AZ","04001","=""04001""","40338","2019-2023","2022","Census","Arizona (State)"
"County","Cochise","AZ","04003","=""04003""","58970","2019-2023","2022","Census","Arizona (State)"
"County","Coconino","AZ","04005","=""04005""","69748","2019-2023","2022","Census","Arizona (State)"
"County","Gila","AZ","04007","=""04007""","59089","2019-2023","2022","Census","Arizona (State)"
"County","Graham","AZ","04009","=""04009""","67326","2019-2023","2022","Census","Arizona (State)"
"County","Greenlee","AZ","04011","=""04011""","75239","2019-2023","2022","Census","Arizona (State)"
"County","La Paz","AZ","04012","=""04012""","49506","2019-2023","2022","Census","Arizona (State)"
"County","Maricopa","AZ","04013","=""04013""","85518","2019-2023","2022","Census","Arizona (State)"
"County","Mohave","AZ","04015","=""04015""","55799","2019-2023","2022","Census","Arizona (State)"
"County","Navajo","AZ","04017","=""04017""","52752","2019-2023","2022","Census","Arizona (State)"
"County","Pima","AZ","04019","=""04019""","67929","2019-2023","2022","Census","Arizona (State)"
"County","Pinal","AZ","04021","=""04021""","77588","2019-2023","2022","Census","Arizona (State)"
"County","Santa Cruz","AZ","04023","=""04023""","53614","2019-2023","2022","Census","Arizona (State)"
"County","Yavapai","AZ","04025","=""04025""","66106","2019-2023","2022","Census","Arizona (State)"
"County","Yuma","AZ","04027","=""04027""","60417","2019-2023","2022","Census","Arizona (State)"
